IAB ID,COMPANY NAME,EMAIL,NAME OF PROPRIETOR/ PARTNER/ DIRECTOR(s) & DESIGNATION:,FULL TIME TECHNICAL PERSONNEL OF THE FIRM/COMPANY:,OFFICE ADDRESS,Rating,WEBSITE
IAB-RP-D03,NAKSHABID ARCHITECTS (Est?2006)," profileltd@gmail.com, info@profilelimited.com",Ar. Md. Abdus Salam(S?047) Managing Director,21 46 Total 67," House 18, Road 6,Gulshan?1 , Dhaka 1213.",5,
IAB-RP-D02,OLI MAHMUD ARCHITECTS (Est?2008), info@pulbd.com,Ar. Shahidul Hasan Azad (H?045) Managing Director & Ar. Ferdous Ahmed (A?038) Director & Ar. Yeafesh Osman (O?001),3 57 Total 60," House 2/16 (5th & 6 th Fl), Block B, Lalmatia, Dhaka?1207.",4.7,https://designcellbd.com/
IAB-RP-D01,PRACHEE STHAPATI (Est?2008)," pronayon@capcobd.com , shakoor_sohail@yahoo.com",Ar. Sohail M Shakoor (S?021) Principal Architect & CEO,7 23 Total 30," Comm.Court(3 rd Floor), 95 Agrabad C/A, Chittagong",4, www.deshupodesh.com 
IAB-RP-C03,PROFILE LTD (Est?28/8/1996), regional_architects@yahoo.com Contact:,Ar. Jalal Uddin Md. Akbar (A?128) Partner & Ar. Md. Mobinul Alam (A?116) Partner,2 Total 2," House 112, Road?06, Mohakhali, New DOHS, Dhaka?1206",4.7, www.cubeinsidebd.com 
IAB-RP-C02,PROKALPA UPODESHTA LTD (Est?8/11/1984), riddhi.arch@gmail.com Contact: +88?02?8626480,Ar. Abu Hena Md. Zia Uddin (U?005) Proprietor & Managing Partner,6 4 Total 10," 8/44 Eastern Plaza (7th Floor), Sonargaon Road, Dhaka?1205",,
IAB-RP-C01,PRONAYON (Est?1990), rivnat360@gmail.com Contact: +88?02?9127032,Ar. Shakhawat Tanvir Hossain (H?107) Principal Architect,1 2 Total 3," 56, Lake Circus, Kalabagan (2 nd floor), West Panthapath, Dhaka?1205",4.8,
IAB-RP-B07,REGIONAL ARCHITECTS (Est?2013)," rachona@gmail.com Contact: +88?02?9820896, +8801713017973",Ar. Riad Rouf (R?061) Principal Architect,3 2 Total 5," House?44 (2 nd Floor), Road?15, Block?D, Banani, Dhaka?1213",4.2,
IAB-RP-B06,RIDDHI ARCHITECTS (Est?2008), reincarnationbd@yahoo.com,Ar. Khandoker Abdal Hossain (H?133) Principal Architect & Partner,6 5 Total 11," Apt?5, House?3, Road?7, Block?C, Niketon, Gulshan?1, Dhaka?1212",, www.37bridge.net 
IAB-RP-B05,RIVNAT ARCHITECTS (Est?2006)," contact@roofliners.org, roofliners.bd@gmail.com Contact: +8801706602332, +8801815007774",Ar. Sarawat Iqbal (I?091) Architect Partner & Ar. Monon?Bin?Yunus (AY?013) Architect Partner,5 6 Total 11," Flat?C1, House?277, Road?01, Baitul Aman Housing Society, Adabor, Mohammadpur, Dhaka?1207",,
IAB-RP-B04,RACHONA CONSULTANTS (Est?1997)," rosebudcon@gmail.com Contact: +88?02?9334169, +88?02?9354491",Ar. A.K.M. Quamrul Hasan (H?071) Managing Director,1 0 Total 1," 14, Bijoy Nagar, 3rd Floor, Dhaka?1000",, www.bksandassociates.com 
IAB-RP-B03,REINCARNATION (Est?2010), riverandraininfo@gmail.com Contact: +88 01734017695 +88 01746506316,Ar. Kazi Fida Islam (I?060) Principal Architect,Total," H?100B, Road?6A, Banani DOHS, Banani, Dhaka?1206",4.6, www.binyashltd.com 
IAB-RP-B02,ROOFLINERS_STUDIO OF ARCHITECTURE (Est?2012), saiuj_con@yahoo.com Contact: +88?02?8190746,Ar.Mirza Shahper Jalil (J?019) Managing Director & Ar. Hasan Mahmud (H?090) Director & Ar. Umme Farzana Zarif (CZ?001) Director,4 6 Total 10," 539, Baitul Aman Housing Society, Road?12, P.S. Adabor, P.O.?Mohammedpur, Dhaka?1207",,
IAB-RP-B01,ROSEBUD CONSULTANTS LTD (Est?1995), scenicbd@gmail.com Contact: +88?02?9677467,Ar. Mohammad Fazlul Quader (Q?004) CEO,2 3 Total 5," Fattah Plaza (8 th Floor), 70 Green road, Dhaka?1205",, www.basatikalpa.com 
IAB-RP-A36,River & Rain Ltd. (Est?2015), shangbit.architects@gmail.com Contact:,Ar. Tahmina Rumi (R?105) Partner,2 1 Total 3," House?60/A, Road?7/A, Dhanmondi, Dhaka",,
IAB-RP-A35,SAIUJ CONSULTANTS (Est?6/6/2001)," shelterarchitect32@yahoo.com Contact: +88?02?9358428, 8333384",Ar. Mukhtar Ahmed (A?023) Managing Director,6 12 Total 18," 5, Outer Circular Road, Z.R. Tower (2 nd floor), Rajarbag, Dhaka?1217",,
IAB-RP-A34,SCENIC (Est?2008)," silt.bd@gmail.com, silt@silt.com.bd",Ar.Razib Hassan Chowdhury (C?0048) Principal Architect,1 2 Total 3," House?204/A, Road?09, New DOHS, Mohakhali, Dhaka?1206",, archiworksbd.wixsite.com/home
IAB-RP-A33,SHANGBIT (Est?2010), arch_pintoo@yahoo.com Contact: +88?02?8918765,Ar. Rafiul Alam (A?047) Chief Executive,1 2 Total 3," H?78,Road 11, Sector 13,Uttara ,Dhaka 1230",5,
IAB-RP-A32,SHELTER ARCHITECTS AND ENGINEERS LIMITED (Est?1996)," srishtishailee@yahoo.com Contact: +88?02?8711883, 8711884",Ar. Mobin Uddin Mohammed Helaly (H?134) Partner Architect,2 8 Total 10," House?297B, Road?19B, New DOHS, Mohakhali, Dhaka?1206",5,
IAB-RP-A31,SILT (Est?2011), saiful.hafiz@gmail.com Contact:,Ar. Saiful Hafiz (H?055) Principal Architect,2 3 Total 5," 3/3, North Road, (4 th Floor), Dhanmondi?1205",,
IAB-RP-A30,SPACE SCAPE (Est?1996)," studio_xi_architects@yahoo.com Contact: +88?02?8813992, 9889360",Ar. Ashik Vaskor Mannan (M?070) Managing Partner,2 3 Total 5," 211/1,Elephant Road, Dhaka?1205",5, www.architectshorizon.com
IAB-RP-A29,SRISHTI SHAILEE (Est?2008), info@studioecotecture.com,Ar. S. M. Hasan Kabir (K?030) Managing Director,4 6 Total 10," 1 st Floor, H?57/D, Road?15A (New), 26 (old), Dhanmondi Res. Area, Dhaka?1205.",4.6,
IAB-RP-A28,SRISTI UPADESHTA (Est?1995), studiohda@gmail.com Contact: +88?02?9888123,Ar. Mohammad Maksumul Hoque (H?150) Chief Architect,1 5 Total 6," 14/C,(Gr Floor), Road ?02,Block? L, Banani , Dhaka.",5, www.architecturetomorrow.com
IAB-RP-A27,STUDIO XI ARCHITECTS (Est?2003), chairman@stylelivingbd.com,Ar. Md. Mizanur Rahman (R?097) Chairman & Ar. Jabid Akram (A?150) Managing Director,3 9 Total 12," Ramna Trade Center (8th Floor), 36/7 CDA Avenue, Muradpur, Chittagong",4.4, www.ayoteek.com
IAB-RP-A26,STUDIO ECOTECTURE LIMITED (Est?2011), Symbiotic.aa@live.com Contact: +88?02?8991817,Ar.Abul Bashar Md. Shamsuzzaman (S?027) Managing Partner,4 6 Total 10," Ground Floor, House?78, Road?18, Sector?11, Uttara, Dhaka?1230",5, www.arquitecturabd.com 
IAB-RP-A25,STUDIO HDA (Est?2013)," synthesisarchitectsbd@gmail.com, synthesis_arch@yahoo.com",Ar. Patrick D’Rozario (R?135) Partner,12 14 Total 26," House?30, Block?KA, Pisci Culture H/S, Shamoly, Dhaka?1207",,
IAB-RP-A24,STYLE LIVING ARCHITECTS LTD (Est?2004), sabd5200@gmail.com Contact: +8801730303421,Ar. Md. Raisul Rafi Shaon (S?089) CEO & Sr. Architect,2 1 Total 3," 44/7?A,B, 1 st Floor, Suite?03, West Panthapoth, Dhaka",4.8, www.archytasltd.com 
IAB-RP-A23,SYMBIOTIC ARCHITECTS & ASSOCIATES (Est?2011), shatotto@gmail.com,Ar. Md. Rafiq Azam (A?055) Principal Architect,9 5 Total 14," House?1/11, 2nd Floor, Iqbal Road, Mohammadpur, Dhaka?1209",,
IAB-RP-A22,SYNTHESIS ARCHITECTS (Est?1999)," fawad_hyder@yahoo.com  info@spacearcht.com Contact: +88?02?9840245, +8801979873387",Ar. D.S. Fawad Hyder (H?056) Proprietor,2 3 Total 5," House#407 (5?A), Road#29, New DOHS, Mohakhali, Dhaka 1206",4.5,
IAB-RP-A21,S & ASSOCIATES (Est?2009), sthapotik_arch@yahoo.com,Ar. Sharif Uddin Ahammed (A?137) Proprietor,5 2 Total 7," House?8/2, 1 st Floor, Block?D, Lalmatia, Dhaka",,
IAB-RP-A20,SHATOTTO ARCHITECTURE FOR GREEN LIVING (Est?1995), studio.dhaka.architects@gmail.com,Ar. Tarek Md. Saidul Islam (I?081) Principal Architect,2 1 Total 3," 44, Rabindra Sharani Road, Sector?7, Uttara Model Town, Dhaka?1230",5,
IAB-RP-A19,"SPACE ARCHITECTS, ENGINEERS, PLANNERS (Est?2011)", studiodhakaltd@gmail.com,Ar. Muhammad Moniruzzaman (M?086) Managing Director,4 7 Total 11," House?91/1, Road?11/A, Dhanmondi R/A, Dhaka?1205",, www.archpmc.com 
IAB-RP-A18,STHAPOTIK (Est?2006), nirjhar@systemarchitectsbd.com,Ar. Enamul Karim (K?058) Principal Architect & CEO,4 9 Total 13," House?31, [Celeste], Unit?A2, Road?20, Block?K, Banani, Dhaka?1213",,
IAB-RP-A17,STUDIO DHAKA ARCHITECTS (Est?2017), info@silverbricksbd.com Contact: +88?01714084433,Ar. Mohammad Asaduzzaman Chowdhury (C?040) Managing Partner & Ar. Aniket Chowdhury (C?066) Partner,3 4 Total 7," 3 rd Floor, IEB Bhaban, S.S Khaled Road, Chattogram",, http://aligngroupbd.com/webmail 
IAB-RP-A16,STUDIO DHAKA LIMITED. (Est?2016), design@studiomorphogenesis.com Contact: +88 01723819678 +88 02 9858862,Ar. Shahla Karim Kabir (K?050) & Ar. Minhaz Bin Gaffar (G?009),Total," Suite?2D, House?11, Road?14, Gulshan?1, Dhaka?1212",4,
IAB-RP-A15,SYSTEM ARCHITECTS (Est?2001), malikshaheen@yahoo.com Contact: +88?02?9850798,Ar. Shaheen Malik (M?009) CEO,1 4 Total 5," House?431, Road?30, DOHS, Mohakhali, Dhaka?1206",,
IAB-RP-A14,SILVERBRICKS (Est?2008), shakoormajid@yahoo.com Contact: +88?02?8812109?10,Ar. Shakoor Majid (M?031) CEO,2 5 Total 7," House 120(B),Road#1,Block#F, Banani , Dhaka?1213",, www.artisanbd.com 
IAB-RP-A13,STUDIO MORPHOGENESIS LTD. (Est?2014), mail@tknrk.com,Ar. Nurur Rahman Khan (K?049) Architect Partner & Ar. Tanya Tazeen Karim (K?051) Architect Partner,14 12 Total 26," Laboni?2, Flat?B1 & C1, House?24, Road?9/A, Dhanmond R/A, Dhaka?1209",4.6,https://3pointsconsultant.com/
IAB-RP-A12,THE DESIGNERS (Est?2001), tarique.37@gmail.com,Ar. Tarique Hasan (H?097) Managing Director,5 0 Total 5," House?31, Road?06, Block?C, Banani, Dhaka?1213",, www.archsel.com 
IAB-RP-A11,TRIANGLE CONSULTANTS (Est?1993)," info@triotect.com.bd Contact: +8801777768366, +8801777768367",Ar. Md. Tareq Abdullah (A?236) Director & Ar. Khondoker Arif Uzzaman (AU?019) Managing Director,5 2 Total 7," 25/2, Rani Garh (2nd Floor), Lake Circus, Kalabagan, Dhaka?1205",,http://archiworksbd.wixsite.com/home
IAB-RP-A10,TANYA KARIM N.R. KHAN & ASSOCIATES (Est?1993)," mail.awpl@yahoo.com Contact: +88?02?9849303, +88?02?9849317",Ar. Md. Maruf Hossain Khan (K?073) Principal Architect,3 9 Total 12," House?211, (2 nd & 3rd), Lane?13, Lake Road, New DOHS, Mohakhali, Dhaka?1206",,
IAB-RP-A09,TARIQUE HASAN & ASSOCIATES LTD. (Est? 2013)," urbana.communications@gmail.com Contact: +88?02?9671500, +88?02?9671515",Ar. Mahboob?E?Sobhan Chowdhury (C?025) Principal Architect,6 4 Total 10," House?56, Road?5/A, Dhanmondi, Dhaka?1209",5,
IAB-RP-A08,TRIOTECT & ASSOCIATES LTD. (Est?2018), vita_arc@yahoo.com Contact: +88?01678016706,Ar. Amit Kumar Saha (S?077) Partner & Ar. Faisal Ishtiaq Alam (A?151) Partner & Ar. Dipozzwal Sen (S?090) Partner,3 2 Total 5," Amelia, Suite:A6, House?71, Road?17, Sector?11, Uttara, Dhaka?1230",5,
IAB-RP-A07,UNITED CONSULTANT (Est?2003)," architects.venna@gmail.com, architect.asif@gmail.com Contact: +88?02? 8625835",Ar.Asif Mohammed Ahsanul Haq (H?117) Managing Partner & Ar. Arifa Akhter (A?120) Partner,3 6 Total 9," Level?05, A K Complex, 19?Green Road, Dhaka?1205",4.8, www.archeground.com 
IAB-RP-A06,URBANA (Est?1996)," info@delvistaa.com Contact: +88?02?55044873, +88?02?55044874, +88?02?55044875",Ar. Khan Mohammed Mustapha Khalid (K?037) Managing Director & Ar. Shahzia Islam (I?023) Director,15 4 Total 19," Delvistaa Ruparup, Apt?D1 & B1, SE(H)6, Road?143, Gulshan Model Town, Gulshan, Dhaka?1212.",,https://archdoers.com
IAB-RP-A05,VASTUVITA ARCHITECTS (Est?2005), foyez@volumezeroltd.com,Ar. Mohammad Foyez Ullah (U?008) Managing Director,23 04 Total 27," House?135, Road?04, Block?A, Banani , Dhaka 1213.",5, 
IAB-RP-A04,VENNA ARCHITECTS (Est?2002)," info@vuumaatra.com , ziaul.sharif@gmail.com , Contact: +88?02?58812326, 8801796585535",Ar. Mohammed Ziaul Sharif (S?094) Chief Architect,3 1 Total 4," House ?22, Road ?12, Block?F, Niketon Socoety, Gulshan?1, Dhaka 1206.",5,
IAB-RP-A03,VISTAARA ARCHITECTS (PVT.) LTD (Est?1998)," dsarif14@yahoo.com, dsarifoffice@gmail.com Contact: +88?01971566019",Ar. Dewan Shamsul Arif (A?079) Proprietor & Principal Architect,5 0 Total 5," House?67/2/KA, Flat?E/2, Zigatola, Dhaka?1209",, www.akritybd.com 
IAB-RP-A02,VOLUMEZERO LIMITED (Est?2008), vittibd@gmail.com Contact: +88 01912888015 +88 02?8143471,Ar. Md. Ishtiaque Zahir (Z?011) Director & Ar. Md. Iqbal Habib (H?075) Managing Director,Total," 27/A, Level?6&7, Shangshad Avenue, Dhaka?1215",,
IAB-RP-A01,VUU?MAATRA CONSULTANTS (Est?2008), wahidasif@gmaii.com Contact: +88 01711433431 +88 02?9890003,Ar. M. Wahid Asif (A?117) Principal Architect,Total," House?246, Road?19, New DOHS, Mohakhali, Dhaka?1206",3.8, www.abashan.com 
,,,,,,,
